2026.04.14 20:34:13 INFO  no build target found for /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala. Using presentation compiler with project's scala-library version: 2.13.18[0m
2026.04.14 20:34:16 INFO  Started: Metals version 1.6.7 in folders '/home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL' for client Visual Studio Code 1.96.4.[0m
2026.04.14 20:34:16 INFO  Memory monitor started[0m
2026.04.14 20:34:17 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.[0m
2026.04.14 20:34:17 INFO  no build target found for /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala. Using presentation compiler with project's scala-library version: 3.3.7[0m
2026.04.14 20:34:19 INFO  no build target found for /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala. Using presentation compiler with project's scala-library version: 3.3.7[0m
2026.04.14 20:34:21 INFO  no build target found for /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala. Using presentation compiler with project's scala-library version: 3.3.7[0m
2026.04.14 20:34:21 INFO  Attempting to connect to the build server...[0m
2026.04.14 20:34:21 INFO  Found a Bloop server running[0m
2026.04.14 20:34:21 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/.metals/bsp.trace.json or /home/ylqt/.cache/metals/bsp.trace.json[0m
2026.04.14 20:34:21 WARN  Failed to write workspace settings: /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/.bloop/bloop.settings.json[0m
2026.04.14 20:34:21 INFO  Attempting to connect to the build server...[0m
2026.04.14 20:34:21 INFO  Found a Bloop server running[0m
2026.04.14 20:34:21 INFO  Attempting to connect to the build server...[0m
2026.04.14 20:34:21 INFO  Found a Bloop server running[0m
2026.04.14 20:34:21 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/project/project/.metals/bsp.trace.json or /home/ylqt/.cache/metals/bsp.trace.json[0m
2026.04.14 20:34:21 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/project/.metals/bsp.trace.json or /home/ylqt/.cache/metals/bsp.trace.json[0m
2026.04.14 20:34:21 INFO  time: Connected to build server in 2.49s[0m
2026.04.14 20:34:21 INFO  Connected to Build server: Bloop v2.0.19[0m
2026.04.14 20:34:21 INFO  Created report: Optional.empty[0m
2026.04.14 20:34:21 INFO  Empty build targets. Expected at least one build target identifier. (full report at: "/home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/.metals/.reports/bloop/2026-04-14/r_Empty build targets...._20-34-22-066.md")[0m
2026.04.14 20:34:21 INFO  Empty build targets. Expected at least one build target identifier. (full report at: "/home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/.metals/.reports/bloop/2026-04-14/r_Empty build targets...._20-34-22-066.md")[0m
2026.04.14 20:34:21 INFO  Empty build targets. Expected at least one build target identifier. (full report at: "/home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/.metals/.reports/bloop/2026-04-14/r_Empty build targets...._20-34-22-066.md")[0m
2026.04.14 20:34:21 INFO  Empty build targets. Expected at least one build target identifier. (full report at: "/home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/.metals/.reports/bloop/2026-04-14/r_Empty build targets...._20-34-22-066.md")[0m
2026.04.14 20:34:21 INFO  Empty build targets. Expected at least one build target identifier. (full report at: "/home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/.metals/.reports/bloop/2026-04-14/r_Empty build targets...._20-34-22-066.md")[0m
2026.04.14 20:34:22 INFO  time: Imported build in 0.16s[0m
2026.04.14 20:34:24 WARN  Could not find java sources in /usr/lib/jvm/src.zip, /usr/lib/jvm/lib/src.zip, /usr/lib/jvm/java-17-openjdk-amd64/src.zip, /usr/lib/jvm/java-17-openjdk-amd64/lib/src.zip. Java symbols will not be available.[0m
2026.04.14 20:34:28 INFO  no build target found for /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala. Using presentation compiler with project's scala-library version: 2.12.19[0m
2026.04.14 20:34:31 INFO  no build target found for /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala. Using presentation compiler with project's scala-library version: 2.12.19[0m
2026.04.14 20:34:31 INFO  no build target found for /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala. Using presentation compiler with project's scala-library version: 2.12.19[0m
2026.04.14 20:34:31 INFO  no build target found for /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala. Using presentation compiler with project's scala-library version: 2.12.19[0m
2026.04.14 20:34:31 INFO  no build target found for /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala. Using presentation compiler with project's scala-library version: 2.12.19[0m
2026.04.14 20:34:34 INFO  time: indexed workspace in 13s[0m
2026.04.14 20:34:34 WARN  no build target for: /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala[0m
2026.04.14 20:34:34 INFO  no build target found for /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala. Using presentation compiler with project's scala-library version: 2.12.19[0m
2026.04.14 20:34:34 WARN  no build target for: /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala[0m
2026.04.14 20:34:34 INFO  no build target found for /home/ylqt/study/YSYX_data/ysyx-workbench/SpinalHDL/hw/spinal/MY_Prj/SysConfig.scala. Using presentation compiler with project's scala-library version: 2.12.19[0m
